year,week,county,aqi,so2,co,o3,pm10,pm25,no2,no,nox,auri_visits,ili_visits,opna_visits,temp_c,rh_pct,pop_cnt
2024,2,連江縣,119.804878,1.81595092,0.464846626,49.49447853,67.31481481,,,,,69,16,13,12.56463415,69.81097561,13950
2024,2,金門縣,125.5487805,2.338650307,0.516564417,47.75889571,72.51234568,,,,,3296,331,64,15.61288344,65.05521472,143601
2024,2,雲林縣,80.05182927,1.848346457,0.361711146,38.45852895,53.29356358,,,,,22332,2601,1466,18.33297764,72.78963415,658427
2024,2,高雄市,91.49061914,2.012251816,0.487031325,34.12676329,57.77379244,,,,,84279,11492,3916,20.38451853,65.61288671,2731412
2024,3,南投縣,76.69461078,1.213361169,0.362293763,31.82787879,41.84242424,,,,,13825,2276,1058,19.48602794,74.43512974,472299
2024,3,嘉義市,91.24550898,2.372891566,0.389698795,32.96746988,56.09036145,,,,,9182,1613,560,20.24191617,74.52095808,262177
2024,3,嘉義縣,85.60179641,2.11686747,0.318855422,34.10783133,56.73493976,,,,,14145,1500,803,19.68922156,80.68263473,478786
2024,3,基隆市,41.48502994,1.432317073,0.331030303,28.41585366,19.54819277,,,,,9570,1615,977,19.13353293,79.51497006,361441
2024,3,宜蘭縣,31.38323353,0.632628399,0.246495468,28.70241692,17.0813253,,,,,14302,3015,1881,19.44101796,82.78143713,449212
2024,3,屏東縣,67.95449102,1.425603865,0.292349398,43.91690821,39.84318456,,,,,23463,3544,1648,21.74161677,69.9261477,789239
2024,3,彰化縣,73.33652695,1.692063492,0.345261239,30.88649635,50.70787879,,,,,36852,5402,2628,19.98173653,81.92265469,1225675
2024,3,新北市,44.6549977,0.959125118,0.392680653,27.57725784,23.82961931,,,,,130964,21350,6260,19.55571584,76.10397387,4047001
2024,3,新竹市,58.90419162,1.390797546,0.366625767,28.47151515,27.00606061,,,,,12071,4410,1602,20.00538922,86.47305389,457242
2024,3,新竹縣,55.69461078,0.887878788,0.295987842,30.43795181,28.37349398,,,,,20228,3554,1412,18.63443114,80.91616766,594641
2024,3,桃園市,52.95908184,1.462373225,0.402451874,27.64838384,31.90707071,,,,,63529,12423,4014,18.87994012,80.49700599,2338648
2024,3,澎湖縣,53.13173653,0.618787879,0.209030303,49.23253012,22.93975904,,,,,2598,159,71,20.6497006,76.18562874,107901
2024,3,臺中市,68.41117764,1.423053589,0.359203629,30.08206687,39.78326613,,,,,86191,20180,9904,19.85760479,77.1760479,2860601
2024,3,臺北市,45.75278015,1.163162467,0.418406926,27.07417391,20.54012079,,,,,71163,13613,6281,18.98592814,75.05560308,2490869
2024,3,臺南市,86.64550898,1.589172749,0.351373026,34.65890244,59.72771084,,,,,49661,10519,5413,20.56871257,76.58682635,1858651
2024,3,臺東縣,28.68862275,0.705740181,0.188670695,30.6776435,12.19277108,,,,,5570,1196,469,20.30179641,72.90718563,210219
2024,3,花蓮縣,30.15568862,0.687951807,0.236566265,31.24879518,10.72891566,,,,,7059,1395,793,20.17784431,73.15568862,315374
2024,3,苗栗縣,55.21357285,1.579149798,0.301454545,31.41443089,33.03427419,,,,,19318,2959,1026,18.36826347,81.36726547,532854
2024,3,連江縣,70.8742515,1.203703704,0.320797546,39.01049383,41.76219512,,,,,106,32,22,14.28143713,74.34730539,13950
2024,3,金門縣,82.13772455,1.625454545,0.381939394,38.54666667,45.88554217,,,,,2971,252,71,16.90538922,72.91017964,143601
2024,3,雲林縣,79.42964072,1.555775076,0.321274659,33.65521936,54.07692308,,,,,22706,2584,1463,19.80988024,83.53293413,658427
2024,3,高雄市,85.59005067,1.871495327,0.444629716,36.51114219,56.99024164,,,,,85238,11901,3884,21.92979042,71.39567229,2731412
2024,4,南投縣,54,1.137951807,0.385511022,17.88977956,26.42540323,,,,,12070,2111,992,14.69610778,82.10878244,472299
2024,4,嘉義市,61.86227545,2.116766467,0.414790419,20.0988024,32.27710843,,,,,8061,1344,518,14.87125749,74.1257485,262177
2024,4,嘉義縣,59.34431138,2.200301205,0.364550898,26.55838323,35.94879518,,,,,12798,1212,636,14.47185629,75.61077844,478786
2024,4,基隆市,48.19760479,1.239156627,0.334790419,33.06646707,22.55421687,,,,,8468,1426,878,12.47005988,83.34131737,361441
2024,4,宜蘭縣,32.04191617,0.748466258,0.300797546,28.4686747,14.37878788,,,,,13055,2685,1632,13.54311377,85.08982036,449212
2024,4,屏東縣,69.15808383,1.725394897,0.383803159,31.79285714,39.01585366,,,,,21064,3185,1504,18.31776447,72.21756487,789239
2024,4,彰化縣,46.96886228,1.538628159,0.353882212,25.69386282,28.89009662,,,,,33514,4936,2379,14.42829341,76.43712575,1225675
2024,4,新北市,48.36112391,0.957162921,0.419670228,26.75478748,26.73581395,,,,,117063,18471,5810,12.32471874,83.00762112,4047001
2024,4,新竹市,53.64071856,1.471084337,0.372814371,28.14071856,18.69512195,,,,,10542,3831,1403,12.5005988,90.53892216,457242
2024,4,新竹縣,46.43712575,0.954191617,0.309790419,30.6494012,20.94879518,,,,,17673,3129,1185,11.53592814,88.10479042,594641
2024,4,桃園市,48.74550898,1.3197,0.393413174,26.48373253,26.33032129,,,,,55045,10689,3629,11.45918164,86.26946108,2338648
2024,4,澎湖縣,45.03592814,0.780838323,0.291084337,39.19461078,20.01212121,,,,,2571,131,40,15.60598802,75.09580838,107901
2024,4,臺中市,44.80439122,1.263608871,0.337869347,25.61043129,19.29255861,,,,,77512,19533,9619,13.52311377,77.78323353,2860601
2024,4,臺北市,47.38665526,1.090025795,0.446138699,24.70598802,20.96893874,,,,,62550,12017,5741,11.54760479,82.2566296,2490869
2024,4,臺南市,63.85748503,1.598918269,0.383261391,23.3662636,37.12765957,,,,,44720,10038,5078,15.5260479,72.97305389,1858651
2024,4,臺東縣,27.55389222,0.731076923,0.296242424,29.5054878,14.23564955,,,,,4853,1068,420,16.28592814,73.59580838,210219
2024,4,花蓮縣,31.01197605,0.692814371,0.366586826,26.39640719,13.40963855,,,,,6389,1305,724,15.61017964,78.37125749,315374
2024,4,苗栗縣,41.94810379,1.638877756,0.32167002,28.1442,20.78514056,,,,,17259,2513,896,11.65958084,85.29141717,532854
2024,4,連江縣,71.49101796,1.205988024,0.331317365,35.00359281,40.5060241,,,,,95,19,16,7.962874251,57.76646707,13950
2024,4,金門縣,68.63473054,1.678443114,0.458023952,31.67245509,33.77710843,,,,,2356,114,38,10.65928144,59.89820359,143601
2024,4,雲林縣,57.29041916,1.808054711,0.360657277,26.01633888,35.80995475,,,,,20752,2435,1345,14.50244511,77.8502994,658427
2024,4,高雄市,72.11699678,1.770356647,0.473155946,22.02845227,45.08875465,,,,,78224,11440,3813,17.45329795,70.4055979,2731412
2024,5,南投縣,67.8762475,1.12193159,0.409839034,25.68189135,34.33266129,,,,,12715,2423,1020,20.18802395,76.8762475,472299
2024,5,嘉義市,93.76646707,1.851204819,0.459578313,27.12349398,48.90361446,,,,,8521,1499,631,20.38443114,76.37125749,262177
2024,5,嘉義縣,94.06287425,2.098480243,0.405727273,31.27,53.22327044,,,,,13538,1390,690,19.79011976,83.74251497,478786
2024,5,基隆市,52.31137725,1.218292683,0.50304878,22.62256098,22.62576687,,,,,9256,1266,719,18.05568862,89.11377246,361441
2024,5,宜蘭縣,37.09580838,0.749847095,0.366139818,26.93242424,19.17771084,,,,,14019,2874,1690,20.0994012,84.39820359,449212
2024,5,屏東縣,80.29820359,1.363966143,0.340385542,41.9,44.01688782,,,,,21852,3373,1509,22.61676647,73.77045908,789239
2024,5,彰化縣,78.26227545,1.520318237,0.444111922,28.46515892,47.12087912,,,,,35784,5787,2521,19.64560878,84.60429142,1225675
2024,5,新北市,55.93781667,1.18689752,0.592475524,24.23283652,27.15109252,,,,,126340,19644,6193,18.87047269,84.72945019,4047001
2024,5,新竹市,69.64670659,1.119512195,0.489030303,27.73658537,26.31288344,,,,,11396,4288,1607,18.73072289,93.13253012,457242
2024,5,新竹縣,65.70658683,1.021084337,0.40376506,27.81299094,28.58912387,,,,,18804,3322,1204,18.26616766,88.92215569,594641
2024,5,桃園市,61.49401198,1.430092119,0.547423625,24.90631365,32.58841463,,,,,58746,11401,3567,17.95217565,88.7750499,2338648
2024,5,澎湖縣,53.02994012,0.619879518,0.31060241,44.73313253,20.62650602,,,,,2713,141,67,19.57724551,82.86826347,107901
2024,5,臺中市,69.14071856,1.276512821,0.448140244,25.25859613,33.56153051,,,,,83273,21156,9983,19.90179641,78.29461078,2860601
2024,5,臺北市,55.39863131,1.174133333,0.621079199,23.56239092,23.97723292,,,,,67335,12864,6018,18.56658683,83.20216709,2490869
2024,5,臺南市,98.85149701,1.626642336,0.44848301,30.32026862,56.8630303,,,,,46369,10943,5628,20.73158683,77.18413174,1858651
2024,5,臺東縣,28.47305389,0.533333333,0.258932927,28.45634675,14.80421687,,,,,4844,975,414,20.94850299,79.99700599,210219
2024,5,花蓮縣,35.82634731,0.721212121,0.338484848,26.53554217,13.75903614,,,,,6205,1431,730,20.66407186,85.26347305,315374
2024,5,苗栗縣,57.81037924,1.513967611,0.392580645,27.15665323,29.26156942,,,,,18527,2561,945,18.01397206,87.40319361,532854
2024,5,連江縣,70.62275449,1.046987952,0.379638554,40.71272727,35.08433735,,,,,95,27,16,12.14431138,82.19760479,13950
2024,5,金門縣,92.07784431,1.426829268,0.474363636,32.64848485,39.10365854,,,,,2463,143,43,15.2502994,77.22754491,143601
2024,5,雲林縣,85.40868263,1.414048338,0.387039275,32.01057402,50.04977376,,,,,21447,2639,1369,19.62844311,85.54191617,658427
2024,5,高雄市,101.2911101,1.938238051,0.540589612,32.16746143,60.32645403,,,,,80063,12185,3812,22.14256487,75.05838323,2731412
2024,6,南投縣,65.30139721,1.04008016,0.423386774,22.2048,31.07676768,,,,,11148,1954,893,17.9251497,84.8762475,472299
2024,6,嘉義市,74.46107784,1.61497006,0.455568862,26.44550898,39.29090909,,,,,7918,1285,546,17.93053892,80.32335329,262177
2024,6,嘉義縣,67.64670659,2.042042042,0.395195195,33.36966967,37.12048193,,,,,11918,1178,614,17.48083832,83.13473054,478786
2024,6,基隆市,52.49101796,1.093373494,0.374850299,39.53712575,21.05421687,,,,,8558,1219,772,15.12335329,87.35329341,361441
2024,6,宜蘭縣,36.25748503,0.758682635,0.339550898,32.66257485,11.85365854,,,,,11745,2415,1453,17.11137725,86.97305389,449212
2024,6,屏東縣,67.65355191,1.157700893,0.372931996,34.78719376,35.64252874,,,,,18845,2720,1240,21.88802395,77.27744511,789239
2024,6,彰化縣,54.81556886,1.455783133,0.391152461,32.72184874,29.91917973,,,,,32926,4892,2210,17.31781437,83.07335329,1225675
2024,6,新北市,49.24458775,0.947156727,0.438290323,34.63822038,23.06490496,,,,,108484,15798,5118,15.39402105,86.76156777,4047001
2024,6,新竹市,53.71257485,1.192814371,0.411497006,35.59461078,20.11656442,,,,,9323,3092,1285,15.44071856,95.06586826,457242
2024,6,新竹縣,51.10179641,0.817417417,0.35497006,35.63532934,19.82779456,,,,,15262,2581,1057,14.64341317,90.35928144,594641
2024,6,桃園市,49.05688623,1.119273461,0.431157685,34.10489022,22.0251004,,,,,49428,9316,3184,14.61207585,89.81437126,2338648
2024,6,澎湖縣,49.09580838,0.931736527,0.332095808,44.43652695,18.86144578,,,,,2302,138,62,17.34011976,78.2994012,107901
2024,6,臺中市,54.63885714,1.358131488,0.388963134,28.98208092,23.33294664,,,,,76358,18472,9426,16.74886228,81.56407186,2860601
2024,6,臺北市,48.68605646,0.974330164,0.448381849,33.24505589,18.42445415,,,,,57637,9929,4564,14.77844311,85.42001711,2490869
2024,6,臺南市,70.22634731,1.167643468,0.405983213,30.14724221,39.70666667,,,,,39865,9417,4993,18.66886228,79.77095808,1858651
2024,6,臺東縣,29.91916168,1.251170569,0.311556886,32.30150602,9.903030303,,,,,4380,746,297,19.59251497,82.2245509,210219
2024,6,花蓮縣,33.35329341,1.006586826,0.380179641,32.36646707,9.295180723,,,,,5662,1117,580,18.73353293,88.83832335,315374
2024,6,苗栗縣,48.17365269,1.37,0.3709,32.6008,21.81891348,,,,,16203,2275,860,14.69800399,89.15768463,532854
2024,6,連江縣,72.95808383,0.962275449,0.430419162,39.15628743,36.44512195,,,,,69,14,9,9.185628743,77.89820359,13950
2024,6,金門縣,70.99401198,1.289820359,0.499819277,32.28143713,30.04848485,,,,,2311,125,49,12.63592814,77.22754491,143601
2024,6,雲林縣,60.96556886,1.384370258,0.392065728,33.92421053,34.93966817,,,,,19025,2318,1297,17.2742515,86.23053892,658427
2024,6,高雄市,78.13311838,1.519389172,0.497461788,26.44359331,45.15791918,,,,,70707,10118,3529,21.07780802,76.24891127,2731412
